Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/29 1:45:34 PM MDT,OK (5~10 hrs),Much (>$200),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,Much,Much,Good
2018/06/29 1:46:54 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Little (<1 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/06/29 2:30:23 PM MDT,Much (>10hrs),Little (<$50),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,OK,OK,Much,Bad
2018/06/29 2:47:24 PM MDT,OK (5~10 hrs),OK ($50~200),Little (<1 hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,OK,OK
2018/06/29 2:48:45 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Good,Good,Much,OK,Good
2018/06/29 2:50:50 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),OK (5~10 hrs),OK,OK,Much,OK,Bad
2018/06/29 2:59:09 PM MDT,OK (5~10 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),Much (>10 hrs),Good,Good,Much,Much,Good
2018/06/29 2:59:14 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),Bad,Good,OK,Much,Good
2018/06/29 2:59:59 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),Good,OK,OK,Much,OK
2018/06/29 3:01:00 PM MDT,Much (>10hrs),Little (<$50),Much (>2 hrs),Much (>10 hrs),Little (< 1 hrs),Bad,OK,OK,OK,OK
2018/06/29 3:01:07 PM MDT,OK (5~10 hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,Much,OK,Good
2018/06/29 3:01:19 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),Good,OK,Much,OK,OK
2018/06/29 3:02:54 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),Little (< 1 hrs),OK,Bad,Little,Little,Bad
2018/06/29 3:03:14 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),OK (5~10 hrs),OK,Good,Little,Little,Bad
2018/06/29 3:03:59 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),OK,OK,Much,OK,OK
