Timestamp,1. Spending: How long do you spend on this course per week???,2. Spending: How much money do you spend on this course?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: Your averaged assignment grade,7.Outcome: Your Mid-term grade,8. Outcome: Your final test score,9. Outcome: Your ranking
2018/07/02 1:02:23 PM MDT,10,10,10,10,6,8,8,9,1
2018/07/02 1:03:04 PM MDT,10,10,10,4,6,9,9,8,3
2018/07/02 1:56:16 PM MDT,6,8,10,5,1,10,9,8,3
2018/07/02 2:02:16 PM MDT,10,10,5,10,1,6,8,8,3
2018/07/02 2:17:13 PM MDT,5,6,4,5,10,10,10,6,5
2018/07/02 2:19:53 PM MDT,10,5,10,10,10,8,8,8,3
2018/07/02 2:45:23 PM MDT,10,10,10,7,6,7,8,7,4
2018/07/02 2:52:36 PM MDT,4,4,6,10,5,6,8,6,5
2018/07/02 3:56:46 PM MDT,6,10,10,10,10,10,9,8,3
2018/07/02 3:44:44 PM MDT,10,10,10,1,10,9,9,6,5
2018/07/02 3:59:59 PM MDT,5,5,1,5,6,9,6,8,3
2018/07/02 5:49:02 PM MDT,10,10,5,10,10,8,10,8,3
2018/07/02 6:06:09 PM MDT,10,10,10,1,10,8,8,9,1
2018/07/02 6:26:27 PM MDT,10,10,10,7,9,10,9,10,1
2018/07/02 6:46:47 PM MDT,10,10,6,10,10,8,8,8,3
2018/07/02 6:56:57 PM MDT,5,5,7,5,1,9,9,8,3
2018/07/02 6:30:50 PM MDT,6,10,1,1,10,9,9,6,5
2018/07/02 6:13:28 PM MDT,10,10,10,10,5,9,10,8,3
2018/07/02 6:24:56 PM MDT,10,10,5,1,10,8,8,9,1
2018/07/02 6:44:54 PM MDT,10,10,6,5,10,8,7,9,
2018/07/02 7:02:30 PM MDT,8,5,10,6,4,10,9,7,4
2018/07/02 7:44:25 PM MDT,10,10,10,10,1,9,10,9,1
2018/07/02 7:30:55 PM MDT,10,10,1,5,10,10,8,9,1
2018/07/02 7:52:47 PM MDT,10,5,10,10,7,9,9,9,1
2018/07/02 7:47:27 PM MDT,7,9,10,5,10,8,9,8,3
2018/07/02 7:58:22 PM MDT,6,8,10,10,10,10,8,8,3
2018/07/02 7:51:07 PM MDT,10,10,10,10,6,10,8,9,1
2018/07/02 8:26:04 PM MDT,10,10,10,10,10,10,8,9,1
2018/07/02 8:40:10 PM MDT,10,10,10,6,10,10,9,9,1
2018/07/02 8:44:31 PM MDT,10,9,1,5,6,10,10,10,1
2018/07/02 8:49:12 PM MDT,10,5,1,1,1,9,8,9,1
2018/07/02 8:59:59 PM MDT,5,6,2,10,10,9,9,10,1
2018/07/02 9:13:20 PM MDT,1,1,3,5,6,8,7,9,1
2018/07/03 6:50:04 PM MDT,10,10,4,1,10,8,8,9,1
2018/07/03 6:58:08 PM MDT,10,10,10,5,1,8,9,10,1
2018/07/03 5:14:32 PM MDT,10,5,10,7,9,10,10,8,3
2018/07/04 10:56:03 PM MDT,6,1,1,8,10,9,8,9,1
2018/07/04 11:45:56 AM MDT,10,1,5,5,10,8,9,9,1
2018/07/05 10:57:52 PM MDT,10,10,10,6,6,10,8,9,1
2018/07/05 12:50:42 PM MDT,10,10,6,1,5,10,10,10,1
